Amsterdam= Helsinki 0.6791923642158508, Vienna 0.6228755712509155, Las-Vegas 0.6143172383308411, Florence 0.6095810532569885, rio-de-janeiro 0.6037969589233398, Delhi 0.5768492221832275, Warsaw 0.5705986618995667, agia-napa 0.5459631681442261, Glasgow 0.5216631293296814, Dubai 0.5003716349601746
Barcelona= rio-de-janeiro 0.7311493158340454, Lisbon 0.7118545770645142, Novosibirsk 0.548586368560791, Portland 0.5104544162750244, Yerevan 0.5027203559875488, Istanbul 0.46985235810279846, Krakow 0.4596300423145294, Buenos-Aires 0.4541700482368469, Dead-Sea 0.4498889148235321, Skopje 0.4496261775493622
Berlin= Budapest 0.5268882513046265, Colombo 0.494281530380249, Osaka 0.47446662187576294, Edinburgh 0.45362669229507446, Tokyo 0.44460463523864746, Irkutsk 0.42169034481048584, Eilat 0.41433340311050415, Oakland 0.40722352266311646, Bangkok 0.3849891722202301, Guatemala-City 0.3656819760799408
Prague= Guangzhou 0.6980686187744141, Kazan 0.6634904146194458, Yerevan 0.6480737924575806, baku-baki 0.6454340219497681, piestany 0.6115333437919617, Lisbon 0.5949718356132507, Phnom-Penh 0.5893436670303345, Porto 0.58546382188797, Addis-Ababa 0.5838216543197632, Podgorica 0.5732523798942566
Rome= Venice 0.6735947132110596, St-Petersburg 0.6579415798187256, Miami 0.6424602270126343, Catania 0.6248155236244202, Crete 0.5986090302467346, Seattle 0.5636454224586487, Madrid 0.5311801433563232, Santo-Domingo 0.5182590484619141, Bari 0.4835132658481598, Split 0.4784861207008362
bucharest= Calgary 0.7185327410697937, Krasnodar 0.6316402554512024, Sevilla-province 0.6297261118888855, Karpathos 0.6086270213127136, Tenerife 0.6084355115890503, Antwerp 0.5848175287246704, Toulouse 0.5834070444107056, Lviv 0.5814369916915894, mumbai-bombay 0.5705229043960571, Funchal 0.5677588582038879
London= Cape-Town 0.6435197591781616, Paris 0.6112046241760254, Iraq 0.5679112672805786, bucharest 0.5449886322021484, Dubai 0.5244277119636536, Brussels 0.5022649765014648, Vancouver 0.5006018280982971, Edinburgh 0.4947103261947632, el-Salvador 0.49450626969337463, Krasnodar 0.4923873841762543
Budapest= Munich 0.7368727922439575, Toronto 0.5785664319992065, Berlin 0.5268882513046265, Phnom-Penh 0.526562511920929, Bangkok 0.4888998866081238, Mauritius 0.488160103559494, Houston 0.48614808917045593, washington-dc 0.47572559118270874, new-york-city 0.4670651853084564, Shanghai 0.45633894205093384
new-york-city= Singapore 0.6986484527587891, Toronto 0.5793023109436035, Tokyo 0.5633099675178528, Oslo 0.5631083250045776, Addis-Ababa 0.5225271582603455, yangon-rangoon 0.5206487774848938, Dresden 0.5096713304519653, Munich 0.5061776041984558, piestany 0.4947521984577179, Phnom-Penh 0.48820334672927856
Madrid= Paris 0.6531869173049927, Rome 0.5311801433563232, Crete 0.5270013809204102, Miami 0.5191002488136292, Havana 0.5115965604782104, Addis-Ababa 0.5033461451530457, Seattle 0.49501556158065796, Nuremberg 0.49031350016593933, piestany 0.48613792657852173, Montreal 0.4772511124610901
Crete= Miami 0.7721323370933533, Venice 0.6955766081809998, Krasnodar 0.6772313117980957, Seattle 0.6648774147033691, Sardinia 0.6016016006469727, Rome 0.5986090302467346, Calgary 0.5719689726829529, Melbourne 0.5437702536582947, Sevilla-province 0.5382723212242126, Madrid 0.5270013809204102
Bangkok= Phnom-Penh 0.6651337742805481, Kazan 0.6455724239349365, Podgorica 0.6434375047683716, Addis-Ababa 0.6213086843490601, Munich 0.589509904384613, phuket-province 0.5827128291130066, Vancouver 0.5699414014816284, Dresden 0.5626950263977051, yangon-rangoon 0.5587637424468994, Ko-Samui 0.5572590231895447
Paris= Madrid 0.6531869173049927, London 0.6112046241760254, Iasi 0.5472438335418701, marrakesh 0.5418152809143066, Calgary 0.5205122232437134, Milan 0.5163097381591797, Munich 0.5139304995536804, Nuremberg 0.5083836317062378, Funchal 0.5068737864494324, Miami 0.5047062039375305
Antalya= puerto-de-la-cruz 0.6907551884651184, Izmir 0.6506772041320801, Astana 0.6256023645401001, Zurich 0.5939000248908997, Bologna 0.589977502822876, Taipei 0.49744081497192383, Chicago 0.44092485308647156, Cairo 0.4366881251335144, Sydney 0.4191654920578003, Athens 0.41293859481811523
Rhodes= Zanzibar-archipelago 0.6570934057235718, Zagreb 0.6548829078674316, lemesos-limasol 0.6353492736816406, san-jose 0.6331079602241516, Innsbruck 0.5801000595092773, Split 0.5767323970794678, Tashkent 0.5649469494819641, Male 0.5485018491744995, Batumi 0.5420079827308655, St-Petersburg 0.5386433601379395
Tel-Aviv= Pisa 0.6068391799926758, Dead-Sea 0.5966750383377075, Buenos-Aires 0.5560109615325928, Omsk 0.5301795601844788, Philadelphia 0.5046616792678833, Glasgow 0.4930095374584198, Ljubljana 0.4786946773529053, Taipei 0.4756762385368347, Hanoi 0.47435998916625977, Aosta 0.47136133909225464
Eilat= Guatemala-City 0.7159377336502075, Protaras 0.7118996381759644, San-Diego 0.6693701148033142, Belgrade 0.6629037857055664, Ushuaia 0.6598673462867737, Sofia 0.6480640172958374, lefkosia-south-nicosia 0.6478695273399353, honolulu-and-waikiki 0.6394081115722656, Marseille 0.6118993759155273, Chiang-Mai 0.5884360074996948
Vienna= Florence 0.720134973526001, phuket-province 0.636899471282959, Las-Vegas 0.6231699585914612, Amsterdam 0.6228755712509155, Hanover 0.6122373938560486, Helsinki 0.6028966903686523, Atlanta 0.5822316408157349, Colombia 0.5496015548706055, Moscow 0.533603310585022, Beijing 0.5300082564353943
Munich= Budapest 0.7368727922439575, Nuremberg 0.713957667350769, Phnom-Penh 0.6967931985855103, Addis-Ababa 0.6207348108291626, yangon-rangoon 0.5986238718032837, Bangkok 0.589509904384613, Dresden 0.5746376514434814, Yerevan 0.5701138973236084, Kazan 0.5505766272544861, Mauritius 0.5443311929702759
Milan= Miami 0.6007201075553894, Paris 0.5163097381591797, Hamburg 0.5130338668823242, Santo-Domingo 0.4843457341194153, Crete 0.45504772663116455, Brussels 0.4470641016960144, Dusseldorf 0.4175010621547699, Rome 0.41458138823509216, Madrid 0.4110950827598572, Florence 0.4034406840801239
Moscow= yangon-rangoon 0.7041431665420532, Hanover 0.688460111618042, Yerevan 0.6381601095199585, Las-Vegas 0.6015394926071167, Portland 0.5895615816116333, Istanbul 0.573461651802063, Tokyo 0.5640115737915039, Bordeaux 0.5619356632232666, Riga 0.5591002106666565, Stockholm 0.5354936718940735
kyiv= Simferopol 0.6908938884735107, Stuttgart 0.6469462513923645, Omsk 0.6232796907424927, Tiberias 0.6183831691741943, honolulu-and-waikiki 0.5990439653396606, lefkosia-south-nicosia 0.568464457988739, Colombo 0.543059229850769, Sofia 0.5223780870437622, Liverpool 0.5210020542144775, Hanoi 0.5131480693817139
Istanbul= Lisbon 0.6922708749771118, Florence 0.6333366632461548, Yerevan 0.5837299823760986, Moscow 0.5734615921974182, yangon-rangoon 0.5453265309333801, Bishkek 0.5407642126083374, Portland 0.5276632905006409, Buenos-Aires 0.5042421817779541, Guangzhou 0.5007429122924805, Athens 0.491859495639801
Varna= Sevilla-province 0.8703755140304565, punta-del-este 0.8195100426673889, Lviv 0.7900428175926208, mumbai-bombay 0.7825998067855835, Split 0.7615774869918823, Karpathos 0.7082290053367615, Zanzibar-archipelago 0.701749324798584, Funchal 0.6967852115631104, lemesos-limasol 0.67529296875, Batumi 0.6745994091033936
Los-Angeles= Glasgow 0.6070064306259155, Tokyo 0.594518780708313, Helsinki 0.5663512945175171, Taipei 0.5591447353363037, San-Francisco 0.5498826503753662, Stockholm 0.533292829990387, Worcester 0.5245463848114014, Montenegro 0.5237514972686768, Hawaii 0.5079584121704102, Copenhagen 0.45833301544189453
Warsaw= Amsterdam 0.5705986618995667, Austin 0.5589662790298462, Jerusalem 0.5400916337966919, Florence 0.4801059365272522, Vienna 0.45464569330215454, Malta 0.44702422618865967, Las-Vegas 0.4192032516002655, Beijing 0.4175625741481781, Hanover 0.39969152212142944, Taipei 0.39787834882736206
Malta= Chisinau 0.5659582614898682, Bangkok 0.5049751400947571, Oslo 0.49352067708969116, Ko-Samui 0.4886542856693268, Podgorica 0.4839302599430084, Dresden 0.4710513949394226, phuket-province 0.46614521741867065, Warsaw 0.44702422618865967, Las-Vegas 0.4410133361816406, Moscow 0.4406622052192688
Burgas= Yekaterinburg 0.6676212549209595, Catania 0.6670721769332886, Varna 0.6358208060264587, Tenerife 0.6322731971740723, Corfu 0.6297481060028076, Hamburg 0.6135158538818359, Karpathos 0.6080325841903687, Rovaniemi 0.6062712669372559, Eilat 0.5807303190231323, Panama-City 0.5720127820968628
Athens= Naples 0.6909091472625732, Minsk 0.6482778191566467, Manchester 0.6265915632247925, Tuscany 0.5983883142471313, Florence 0.5879302024841309, Istanbul 0.491859495639801, Los-Angeles 0.45523667335510254, puerto-de-la-cruz 0.4435540437698364, Taormina 0.4414448142051697, Atlanta 0.4407455325126648
